CntryCode,Region,delta13C,delta15N,delta18O,delta2H,delta34S,Long,Lat
MW,SAfr,-20.6,6.6,15.3,-54.3,3.7,33.45,-11.02
ZA,SAfr,-18.9,8.9,18.4,-25.1,17.8,26.31,-24.76
ZA,SAfr,-20,7.5,18.6,-19.7,16.2,27.07,-25.24
ZA,SAfr,-18.5,9,17.6,-20.1,16.8,31.66,-24.09
MW,SAfr,-20.4,9,17.1,-49.7,10.1,35.51,-14.95
NAM,SAfr,-21,12,18.5,-36.9,13.2,18.24,-18.13
NAM,SAfr,-20.5,8.8,19.5,-43,11.4,18.24,-18.13
ZA,SAfr,-17.8,9.5,18,-28.5,16.5,31.16,-22.83
MW,SAfr,-20.7,6.7,15.9,-58,12.3,33.5,-11.03
ZW,SAfr,-22.3,8,16.7,-41.1,12.8,30.21,-15.78
ZW,SAfr,-19.3,10.4,17.9,-30.1,7.9,28.33,-17.25
MW,SAfr,-20.4,5.7,17.1,-52.3,10.4,33.13,-12.91
MW,SAfr,-20.2,6.6,16.9,-51.4,10.4,33.13,-12.91
MW,SAfr,-21.5,6.2,15.6,-55.7,10,35.33,-14.9
ZA,SAfr,-17.9,9.2,17.5,-29.2,17.4,31.76,-25.12
ZA,SAfr,-22.6,8.6,17.4,-40.8,16.5,30.86,-28.5
ZW,SAfr,-19.4,9.1,15.9,-48.7,9.6,29.88,-15.61
ZW,SAfr,-20.6,8.8,13.6,-61.1,7.4,31.65,-16.3
MW,SAfr,-23.1,6.6,14,-60.2,5.2,34.46,-14.19
MW,SAfr,-23.2,6.3,17.3,-45.1,8.4,33.45,-11.02
ZA,SAfr,-18.7,8.7,18.9,-30.5,16.4,26.31,-24.76
ZA,SAfr,-21,9.3,18.6,-34.4,17.6,31.66,-25.23
ZA,SAfr,-21.4,10.3,17,-33.8,11.8,30.63,-29.81
ZA,SAfr,-18.2,8.6,15.1,-47.3,18.3,26.31,-24.76
ZW,SAfr,-21.4,9.7,18.4,-44.4,8.1,30,-21.55
